Epoch 0 | Train 1.2797 | Val 0.8387 | LR 0.0003000
Epoch 1 | Train 1.1625 | Val 0.7995 | LR 0.0003000
Epoch 2 | Train 1.0827 | Val 0.7500 | LR 0.0003000
Epoch 3 | Train 1.0518 | Val 0.7198 | LR 0.0003000
Epoch 4 | Train 1.0197 | Val 0.6925 | LR 0.0002999
Epoch 5 | Train 1.0107 | Val 0.7053 | LR 0.0002999
Epoch 6 | Train 0.9828 | Val 0.6846 | LR 0.0002999
Epoch 7 | Train 0.9732 | Val 0.6776 | LR 0.0002998
Epoch 8 | Train 0.9575 | Val 0.6766 | LR 0.0002998
Epoch 9 | Train 0.9497 | Val 0.6564 | LR 0.0002997
Epoch 10 | Train 0.9295 | Val 0.6490 | LR 0.0002996
Epoch 11 | Train 0.9118 | Val 0.6506 | LR 0.0002996
Epoch 12 | Train 0.9116 | Val 0.6464 | LR 0.0002995
Epoch 13 | Train 0.9003 | Val 0.6247 | LR 0.0002994
Epoch 14 | Train 0.8883 | Val 0.6243 | LR 0.0002993
Epoch 15 | Train 0.8798 | Val 0.6187 | LR 0.0002992
Epoch 16 | Train 0.8791 | Val 0.6228 | LR 0.0002991
Epoch 17 | Train 0.8820 | Val 0.6092 | LR 0.0002990
Epoch 18 | Train 0.8669 | Val 0.6085 | LR 0.0002989
Epoch 19 | Train 0.8632 | Val 0.6099 | LR 0.0002988
Epoch 20 | Train 0.8600 | Val 0.6119 | LR 0.0002987
Epoch 21 | Train 0.8541 | Val 0.5962 | LR 0.0002986
Epoch 22 | Train 0.8490 | Val 0.6022 | LR 0.0002984
Epoch 23 | Train 0.8384 | Val 0.6109 | LR 0.0002983
Epoch 24 | Train 0.8290 | Val 0.5874 | LR 0.0002982
Epoch 25 | Train 0.8362 | Val 0.5995 | LR 0.0002980
Epoch 26 | Train 0.8206 | Val 0.5813 | LR 0.0002978
Epoch 27 | Train 0.8160 | Val 0.5793 | LR 0.0002977
Epoch 28 | Train 0.8245 | Val 0.5687 | LR 0.0002975
Epoch 29 | Train 0.8206 | Val 0.5759 | LR 0.0002973
Epoch 30 | Train 0.8151 | Val 0.5705 | LR 0.0002972
Epoch 31 | Train 0.8054 | Val 0.5737 | LR 0.0002970
